Legislation Number,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Subject
H.R. 1240,116th Congress (2019-2020),Young Fishermen's Development Act,"Young, Don [Rep.-R-AK-At Large]",Republican,2019-02-14,Business education
H.R. 1222,116th Congress (2019-2020),Target Practice and Marksmanship Training Support Act,"Kind, Ron [Rep.-D-WI-3]",Democratic,2019-02-14,Public Lands and Natural Resources
H.R. 1200,116th Congress (2019-2020),Veterans' Compensation Cost-of-Living Adjustment Act of 2019,"Luria, Elaine G. [Rep.-D-VA-2]",Democratic,2019-02-13,Armed Forces and National Security
H.R. 1198,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 404 South Boulder Highway in Henderson, Nevada, as the Henderson Veterans Memorial Post Office Building.","Lee, Susie [Rep.-D-NV-3]",Democratic,2019-02-13,Congressional tributes
H.R. 1158,116th Congress (2019-2020),"Consolidated Appropriations Act, 2020","McCaul, Michael T. [Rep.-R-TX-10]",Republican,2019-02-13,Computer security and identity theft
H.R. 1138,116th Congress (2019-2020),"To reauthorize the West Valley demonstration project, and for other purposes.","Reed, Tom [Rep.-R-NY-23]",Republican,2019-02-11,Energy
H.R. 1123,116th Congress (2019-2020),Divisional Realignment for the Eastern District of Arkansas Act of 2019,"Crawford, Eric A. ""Rick"" [Rep.-R-AR-1]",Republican,2019-02-08,Arkansas
H.R. 1079,116th Congress (2019-2020),Creating Advanced Streamlined Electronic Services for Constituents Act of 2019,"Graves, Garret [Rep.-R-LA-6]",Republican,2019-02-07,Government Operations and Politics
H.R. 1058,116th Congress (2019-2020),"Autism Collaboration, Accountability, Research, Education, and Support Act of 2019","Smith, Christopher H. [Rep.-R-NJ-4]",Republican,2019-02-07,Health
H.R. 991,116th Congress (2019-2020),Extension of the Caribbean Basin Economic Recovery Act,"Sewell, Terri A. [Rep.-D-AL-7]",Democratic,2019-02-06,Caribbean area
H.R. 943,116th Congress (2019-2020),Never Again Education Act,"Maloney, Carolyn B. [Rep.-D-NY-12]",Democratic,2019-01-31,Europe
H.R. 887,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 877 East 1200 South in Orem, Utah, as the Jerry C. Washburn Post Office Building.","Curtis, John R. [Rep.-R-UT-3]",Republican,2019-01-30,Congressional tributes
H.R. 886,116th Congress (2019-2020),Veteran Treatment Court Coordination Act of 2019,"Crist, Charlie [Rep.-D-FL-13]",Democratic,2019-01-30,Crime and Law Enforcement
H.R. 866,116th Congress (2019-2020),Fairness For Breastfeeding Mothers Act of 2019,"Norton, Eleanor Holmes [Del.-D-DC-At Large]",Democratic,2019-01-30,Child health
H.R. 835,116th Congress (2019-2020),Rodchenkov Anti-Doping Act of 2019,"Jackson Lee, Sheila [Rep.-D-TX-18]",Democratic,2019-01-29,Athletes
H.R. 831,116th Congress (2019-2020),Reviving America's Scenic Byways Act of 2019,"Cicilline, David N. [Rep.-D-RI-1]",Democratic,2019-01-29,Government information and archives
H.R. 829,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 1450 Montauk Highway in Mastic, New York, as the Army Specialist Thomas J. Wilwerth Post Office Building.","Zeldin, Lee M. [Rep.-R-NY-1]",Republican,2019-01-28,Congressional tributes
H.R. 828,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 25 Route 111 in Smithtown, New York, as the ""Congressman Bill Carney Post Office"".","Zeldin, Lee M. [Rep.-R-NY-1]",Republican,2019-01-28,Congressional tributes
H.R. 777,116th Congress (2019-2020),Debbie Smith Reauthorization Act of 2019,"Maloney, Carolyn B. [Rep.-D-NY-12]",Democratic,2019-01-24,Crime and Law Enforcement
H.R. 776,116th Congress (2019-2020),Emergency Medical Services for Children Program Reauthorization Act of 2019,"King, Peter T. [Rep.-R-NY-2]",Republican,2019-01-24,Child health
H.R. 748,116th Congress (2019-2020),CARES Act,"Courtney, Joe [Rep.-D-CT-2]",Democratic,2019-01-24,Blood and blood diseases
H.R. 724,116th Congress (2019-2020),PACT Act,"Deutch, Theodore E. [Rep.-D-FL-22]",Democratic,2019-01-23,Animal protection and human-animal relationships
H.R. 639,116th Congress (2019-2020),To amend section 327 of the Robert T. Stafford Disaster Relief and Emergency Assistance Act to clarify that National Urban Search and Rescue Response System task forces may include Federal employees.,"Hartzler, Vicky [Rep.-R-MO-4]",Republican,2019-01-17,Federal officials
H.R. 583,116th Congress (2019-2020),PIRATE Act,"Tonko, Paul [Rep.-D-NY-20]",Democratic,2019-01-16,"Science, Technology, Communications"
H.R. 561,116th Congress (2019-2020),Protecting Business Opportunities for Veterans Act of 2019,"Bergman, Jack [Rep.-R-MI-1]",Republican,2019-01-15,Armed Forces and National Security
H.R. 559,116th Congress (2019-2020),Northern Mariana Islands Long-Term Legal Residents Relief Act,"Sablan, Gregorio Kilili Camacho [Del.-D-MP-At Large]",Democratic,2019-01-15,Administrative law and regulatory procedures
H.R. 540,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 770 Ayrault Road in Fairport, New York, as the Louise and Bob Slaughter Post Office.","Morelle, Joseph D. [Rep.-D-NY-25]",Democratic,2019-01-14,Congressional tributes
H.R. 504,116th Congress (2019-2020),DHS Field Engagement Accountability Act,"Bacon, Don [Rep.-R-NE-2]",Republican,2019-01-11,Congressional oversight
H.R. 473,116th Congress (2019-2020),"To authorize the Every Word We Utter Monument to establish a commemorative work in the District of Columbia and its environs, and for other purposes.","Neguse, Joe [Rep.-D-CO-2]",Democratic,2019-01-10,District of Columbia
H.R. 439,116th Congress (2019-2020),National FFA Organization's Federal Charter Amendments Act,"Langevin, James R. [Rep.-D-RI-2]",Democratic,2019-01-10,"Government employee pay, benefits, personnel management"
H.R. 434,116th Congress (2019-2020),Emancipation National Historic Trail Study Act,"Jackson Lee, Sheila [Rep.-D-TX-18]",Democratic,2019-01-10,"Parks, recreation areas, trails"
H.R. 430,116th Congress (2019-2020),TANF Extension Act of 2019,"Neal, Richard E. [Rep.-D-MA-1]",Democratic,2019-01-10,Social Welfare
H.R. 299,116th Congress (2019-2020),Blue Water Navy Vietnam Veterans Act of 2019,"Takano, Mark [Rep.-D-CA-41]",Democratic,2019-01-08,Asia
H.R. 276,116th Congress (2019-2020),Recognizing Achievement in Classified School Employees Act,"Titus, Dina [Rep.-D-NV-1]",Democratic,2019-01-08,Child safety and welfare
H.R. 266,116th Congress (2019-2020),Paycheck Protection Program and Health Care Enhancement Act,"McCollum, Betty [Rep.-D-MN-4]",Democratic,2019-01-08,"Agricultural prices, subsidies, credit"
H.R. 263,116th Congress (2019-2020),To rename the Oyster Bay National Wildlife Refuge as the Congressman Lester Wolff Oyster Bay National Wildlife Refuge.,"Suozzi, Thomas R. [Rep.-D-NY-3]",Democratic,2019-01-04,"Wilderness and natural areas, wildlife refuges, wild rivers, habitats"
H.R. 259,116th Congress (2019-2020),Medicaid Extenders Act of 2019,"Pallone, Frank, Jr. [Rep.-D-NJ-6]",Democratic,2019-01-04,Health care quality
H.R. 251,116th Congress (2019-2020),Chemical Facility Anti-Terrorism Standards Program Extension Act,"Thompson, Bennie G. [Rep.-D-MS-2]",Democratic,2019-01-04,Administrative law and regulatory procedures
H.R. 221,116th Congress (2019-2020),Special Envoy to Monitor and Combat Anti-Semitism Act,"Smith, Christopher H. [Rep.-R-NJ-4]",Republican,2019-01-03,Department of State
H.R. 150,116th Congress (2019-2020),Grant Reporting Efficiency and Agreements Transparency Act of 2019,"Foxx, Virginia [Rep.-R-NC-5]",Republican,2019-01-03,Administrative law and regulatory procedures
H.R. 133,116th Congress (2019-2020),"Consolidated Appropriations Act, 2021","Cuellar, Henry [Rep.-D-TX-28]",Democratic,2019-01-03,Business education
H.J.Res. 110,116th Congress (2019-2020),"Extension of Continuing Appropriations Act, 2021","Lowey, Nita M. [Rep.-D-NY-17]",Democratic,2020-12-20,Economics and Public Finance
H.J.Res. 107,116th Congress (2019-2020),"Further Additional Continuing Appropriations Act, 2021","Lowey, Nita M. [Rep.-D-NY-17]",Democratic,2020-12-18,Economics and Public Finance
H.J.Res. 88,116th Congress (2019-2020),Providing for the appointment of Franklin D. Raines as a citizen regent of the Board of Regents of the Smithsonian Institution.,"Matsui, Doris O. [Rep.-D-CA-6]",Democratic,2020-05-05,Federal officials
H.J.Res. 87,116th Congress (2019-2020),Providing for the reappointment of Michael M. Lynton as a citizen regent of the Board of Regents of the Smithsonian Institution.,"Matsui, Doris O. [Rep.-D-CA-6]",Democratic,2020-05-05,Smithsonian Institution
H.J.Res. 80,116th Congress (2019-2020),"Approving the request of the Secretary of Veterans Affairs for a waiver under section 1703E(f) of title 38, United States Code.","Roe, David P. [Rep.-R-TN-1]",Republican,2019-12-11,Armed Forces and National Security
H.J.Res. 60,116th Congress (2019-2020),"Requesting the Secretary of the Interior to authorize unique and one-time arrangements for displays on the National Mall and the Washington Monument during the period beginning on July 16, 2019 and ending on July 20, 2019.","Matsui, Doris O. [Rep.-D-CA-6]",Democratic,2019-06-10,"Science, Technology, Communications"
H.J.Res. 31,116th Congress (2019-2020),"Consolidated Appropriations Act, 2019","Roybal-Allard, Lucille [Rep.-D-CA-40]",Democratic,2019-01-22,Administrative Conference of the U.S.
H.J.Res. 28,116th Congress (2019-2020),"Further Additional Continuing Appropriations Act, 2019","Lowey, Nita M. [Rep.-D-NY-17]",Democratic,2019-01-14,Economics and Public Finance
S. 5076,116th Congress (2019-2020),A bill to authorize the Sergeant at Arms and Doorkeeper of the Senate to delegate authority to approve payroll and personnel actions.,"Blunt, Roy [Sen.-R-MO]",Republican,2020-12-20,Congress
S. 5036,116th Congress (2019-2020),Secret Service Overtime Pay Extension Act,"Graham, Lindsey [Sen.-R-SC]",Republican,2020-12-16,Government Operations and Politics
S. 4996,116th Congress (2019-2020),Bankruptcy Administration Improvement Act of 2020,"Graham, Lindsey [Sen.-R-SC]",Republican,2020-12-09,Finance and Financial Sector
S. 4902,116th Congress (2019-2020),"A bill to designate the United States courthouse located at 351 South West Temple in Salt Lake City, Utah, as the ""Orrin G. Hatch United States Courthouse"".","Lee, Mike [Sen.-R-UT]",Republican,2020-11-17,Government Operations and Politics
S. 4762,116th Congress (2019-2020),"A bill to designate the airport traffic control tower located at Piedmont Triad International Airport in Greensboro, North Carolina, as the ""Senator Kay Hagan Airport Traffic Control Tower"".","Burr, Richard [Sen.-R-NC]",Republican,2020-09-30,Members of Congress
S. 4684,116th Congress (2019-2020),"A bill to designate the facility of the United States Postal Service located at 440 Arapahoe Street in Thermopolis, Wyoming, as the ""Robert L. Brown Post Office"".","Enzi, Michael B. [Sen.-R-WY]",Republican,2020-09-24,Wyoming
S. 4209,116th Congress (2019-2020),Protecting Nonprofits from Catastrophic Cash Flow Strain Act of 2020,"Scott, Tim [Sen.-R-SC]",Republican,2020-07-02,"Social work, volunteer service, charitable organizations"
S. 4148,116th Congress (2019-2020),"A bill to extend the Chemical Facility Anti-Terrorism Standards Program of the Department of Homeland Security, and for other purposes.","Johnson, Ron [Sen.-R-WI]",Republican,2020-07-01,Emergency Management
S. 4126,116th Congress (2019-2020),"A bill to designate the facility of the United States Postal Service located at 104 East Main Street in Port Washington, Wisconsin, as the ""Joseph G. Demler Post Office"".","Johnson, Ron [Sen.-R-WI]",Republican,2020-07-01,Postal service
S. 4116,116th Congress (2019-2020),"A bill to extend the authority for commitments for the paycheck protection program and separate amounts authorized for other loans under section 7(a) of the Small Business Act, and for other purposes.","Cardin, Benjamin L. [Sen.-D-MD]",Democratic,2020-06-30,Commerce
S. 4091,116th Congress (2019-2020),Emergency Aid for Returning Americans Affected by Coronavirus Act,"Grassley, Chuck [Sen.-R-IA]",Republican,2020-06-29,Social Welfare
S. 4075,116th Congress (2019-2020),RLF Act,"Capito, Shelley Moore [Sen.-R-WV]",Republican,2020-06-25,Economic performance and conditions
S. 4072,116th Congress (2019-2020),"A bill to designate the clinic of the Department of Veterans Affairs in Bend, Oregon, as the ""Robert D. Maxwell Department of Veterans Affairs Clinic"".","Merkley, Jeff [Sen.-D-OR]",Democratic,2020-06-25,Home and outpatient care
S. 4054,116th Congress (2019-2020),United States Grain Standards Reauthorization Act of 2020,"Roberts, Pat [Sen.-R-KS]",Republican,2020-06-24,Agriculture and Food
S. 3989,116th Congress (2019-2020),United States Semiquincentennial Commission Amendments Act of 2020,"Toomey, Patrick [Sen.-R-PA]",Republican,2020-06-17,Government Operations and Politics
S. 3758,116th Congress (2019-2020),A bill to amend the Klamath Basin Water Supply Enhancement Act of 2000 to make certain technical corrections.,"Merkley, Jeff [Sen.-D-OR]",Democratic,2020-05-19,Water Resources Development
S. 3744,116th Congress (2019-2020),Uyghur Human Rights Policy Act of 2020,"Rubio, Marco [Sen.-R-FL]",Republican,2020-05-14,International Affairs
S. 3703,116th Congress (2019-2020),Promoting Alzheimer's Awareness to Prevent Elder Abuse Act,"Collins, Susan M. [Sen.-R-ME]",Republican,2020-05-12,Crime and Law Enforcement
S. 3637,116th Congress (2019-2020),"A bill to amend the Servicemembers Civil Relief Act to extend lease protections for servicemembers under stop movement orders in response to a local, national, or global emergency, and for other purposes.","Tester, Jon [Sen.-D-MT]",Democratic,2020-05-06,Armed Forces and National Security
S. 3607,116th Congress (2019-2020),Safeguarding America's First Responders Act of 2020,"Grassley, Chuck [Sen.-R-IA]",Republican,2020-05-05,Crime and Law Enforcement
S. 3587,116th Congress (2019-2020),Department of Veterans Affairs Website Accessibility Act of 2019,"Casey, Robert P., Jr. [Sen.-D-PA]",Democratic,2020-03-26,Armed Forces and National Security
S. 3503,116th Congress (2019-2020),"A bill to authorize the Secretary of Veterans Affairs to treat certain programs of education converted to distance learning by reason of emergencies and health-related situations in the same manner as programs of education pursued at educational institutions, and for other purposes.","Moran, Jerry [Sen.-R-KS]",Republican,2020-03-16,Armed Forces and National Security
S. 3462,116th Congress (2019-2020),"A bill to designate the facility of the United States Postal Service located at 909 West Holiday Drive in Fate, Texas, as the ""Ralph Hall Post Office"".","Cornyn, John [Sen.-R-TX]",Republican,2020-03-12,Congressional tributes
